# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = combinar distintas optimizaciones y flags.
# CPU = desktop
Flags,Gflops_Vel,Gflops_Force,Gflops_Verlet,Gflops_total
clang, -Ofast -march=native -funroll-loops,0.603197,2.962111,0.024304,0.030919
clang, -Ofast -march=native -ffast-math -funroll-loops,0.62298,3.094924,0.024489,0.031116
clang, -Ofast -march=native -ffast-math -funroll-loops,0.622692,3.063441,0.024227,0.030822
clang, -Ofast -march=native -ffast-math -funroll-loops,0.601258,2.969864,0.024362,0.030984
clang, -Ofast -march=native -ffast-math -funroll-loops,0.573539,2.808059,0.024247,0.030848
clang, -Ofast -march=native -ffast-math -funroll-loops,0.522916,3.087003,0.024306,0.030918
clang, -Ofast -march=native -ffast-math -funroll-loops,0.552633,2.780359,0.024329,0.030945
clang, -Ofast -march=native -ffast-math -funroll-loops,0.569715,2.940791,0.024256,0.030863
clang, -Ofast -march=native -ffast-math -funroll-loops,0.258646,3.343731,0.027847,0.035419
clang, -Ofast -march=native -ffast-math -funroll-loops,0.682537,3.374563,0.027813,0.035387
clang, -Ofast -march=native -ffast-math -funroll-loops,0.679531,3.336421,0.027672,0.035203
gcc, -O0,0.534039,1.297548,0.010933,0.014131
gcc, -O0,0.44826,1.245816,0.009685,0.012552
gcc, -O0,0.408808,1.075499,0.009035,0.01171
gcc, -O0,0.393497,1.015879,0.008999,0.011662
gcc, -O0,0.419929,1.085402,0.009031,0.011706
gcc, -O0,0.392604,1.019013,0.009038,0.011714
gcc, -O0,0.413631,1.093198,0.009014,0.011682
gcc, -O0,0.449466,1.157566,0.009039,0.011716
gcc, -O0,0.417598,1.073285,0.009061,0.011744
gcc, -O0,0.439582,1.135878,0.00902,0.011692
gcc, -O1,0.620007,2.174189,0.016903,0.021729
gcc, -O1,0.608346,2.116507,0.016752,0.021543
gcc, -O1,0.553302,1.949814,0.016776,0.021574
gcc, -O1,0.547111,1.946204,0.016726,0.021512
gcc, -O1,0.623324,2.173022,0.016859,0.021681
gcc, -O1,0.561139,1.962393,0.016757,0.02155
gcc, -O1,0.592908,2.087771,0.01673,0.021517
gcc, -O1,0.581747,2.057807,0.016798,0.021603
gcc, -O1,0.570527,2.008406,0.016783,0.021581
gcc, -O1,0.630224,2.184457,0.020384,0.026213
gcc, -O1 -march=native,0.730144,2.539768,0.020842,0.026793
gcc, -O1 -march=native,0.755178,2.573764,0.020658,0.02656
gcc, -O1 -march=native,0.646692,2.276678,0.020742,0.026661
gcc, -O1 -march=native,0.645761,2.27341,0.020212,0.025984
gcc, -O1 -march=native,0.634606,2.259126,0.020128,0.025873
gcc, -O1 -march=native,0.563429,2.058697,0.019913,0.025595
gcc, -O1 -march=native,0.590956,2.126081,0.019923,0.025607
gcc, -O1 -march=native,0.610446,2.197167,0.019859,0.025529
gcc, -O1 -march=native,0.664582,2.375633,0.019833,0.025497
gcc, -O1 -march=native,0.595839,2.163586,0.019909,0.02559
gcc, -O1 -march=native -ffast-math,0.728727,2.891028,0.023339,0.029823
